Hours	G	IR0	T_sky_cal	T_amb	v_wind	m_dot	T_in
[hr]	[W/m²]	[W/m²]	[°C]	[°C]	[m/s]	[kg/s]	[°C]
0.00	1000.00	40.00	9.63	0.00	1.00	0.0496	0.00
1.00	1000.00	40.00	9.63	0.00	1.00	0.0496	0.00
2.00	1000.00	40.00	9.63	0.00	1.00	0.0496	10.00
3.00	1000.00	40.00	9.63	0.00	1.00	0.0496	20.00
4.00	1000.00	40.00	9.63	0.00	1.00	0.0496	30.00
5.00	1000.00	40.00	9.63	0.00	1.00	0.0496	40.00
6.00	800.00	40.00	9.63	0.00	1.00	0.0496	0.00
7.00	800.00	40.00	9.63	0.00	1.00	0.0496	10.00
8.00	800.00	40.00	9.63	0.00	1.00	0.0496	20.00
9.00	800.00	40.00	9.63	0.00	1.00	0.0496	30.00
10.00	800.00	40.00	9.63	0.00	1.00	0.0496	40.00
11.00	600.00	40.00	9.63	0.00	1.00	0.0496	0.00
12.00	600.00	40.00	9.63	0.00	1.00	0.0496	10.00
13.00	600.00	40.00	9.63	0.00	1.00	0.0496	20.00
14.00	600.00	40.00	9.63	0.00	1.00	0.0496	30.00
15.00	600.00	40.00	9.63	0.00	1.00	0.0496	40.00
16.00	400.00	40.00	9.63	0.00	1.00	0.0496	0.00
17.00	400.00	40.00	9.63	0.00	1.00	0.0496	10.00
18.00	400.00	40.00	9.63	0.00	1.00	0.0496	20.00
19.00	400.00	40.00	9.63	0.00	1.00	0.0496	30.00
20.00	400.00	40.00	9.63	0.00	1.00	0.0496	40.00
21.00	200.00	40.00	9.63	0.00	1.00	0.0496	0.00
22.00	200.00	40.00	9.63	0.00	1.00	0.0496	10.00
23.00	200.00	40.00	9.63	0.00	1.00	0.0496	20.00
24.00	200.00	40.00	9.63	0.00	1.00	0.0496	30.00
25.00	200.00	40.00	9.63	0.00	1.00	0.0496	40.00
26.00	0.00	40.00	9.63	0.00	1.00	0.0496	0.00
27.00	0.00	40.00	9.63	0.00	1.00	0.0496	10.00
28.00	0.00	40.00	9.63	0.00	1.00	0.0496	20.00
29.00	0.00	40.00	9.63	0.00	1.00	0.0496	30.00
30.00	0.00	40.00	9.63	0.00	1.00	0.0496	40.00
31.00	1000.00	40.00	9.63	0.00	2.00	0.0496	0.00
32.00	1000.00	40.00	9.63	0.00	2.00	0.0496	10.00
33.00	1000.00	40.00	9.63	0.00	2.00	0.0496	20.00
34.00	1000.00	40.00	9.63	0.00	2.00	0.0496	30.00
35.00	1000.00	40.00	9.63	0.00	2.00	0.0496	40.00
36.00	800.00	40.00	9.63	0.00	2.00	0.0496	0.00
37.00	800.00	40.00	9.63	0.00	2.00	0.0496	10.00
38.00	800.00	40.00	9.63	0.00	2.00	0.0496	20.00
39.00	800.00	40.00	9.63	0.00	2.00	0.0496	30.00
40.00	800.00	40.00	9.63	0.00	2.00	0.0496	40.00
41.00	600.00	40.00	9.63	0.00	2.00	0.0496	0.00
42.00	600.00	40.00	9.63	0.00	2.00	0.0496	10.00
43.00	600.00	40.00	9.63	0.00	2.00	0.0496	20.00
44.00	600.00	40.00	9.63	0.00	2.00	0.0496	30.00
45.00	600.00	40.00	9.63	0.00	2.00	0.0496	40.00
46.00	400.00	40.00	9.63	0.00	2.00	0.0496	0.00
47.00	400.00	40.00	9.63	0.00	2.00	0.0496	10.00
48.00	400.00	40.00	9.63	0.00	2.00	0.0496	20.00
49.00	400.00	40.00	9.63	0.00	2.00	0.0496	30.00
50.00	400.00	40.00	9.63	0.00	2.00	0.0496	40.00
51.00	200.00	40.00	9.63	0.00	2.00	0.0496	0.00
