 TIME                    	Hours                    	Tout                     	Qdotout                  	Pel                      	Tm                       	Tcell                    	Eta_PV                   	Eta_PV_net               	
 HOURS              	NAV                 	øC                  	NAV                 	NAV                 	NAV                 	øC                  	                    	NAV                 	
  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7683298256397050-314	  +0.0000000000000000E+00	  +6.3659873728958169-314	  +6.3659873728958169-314	  +1.0854642001758020-317	
  +1.0000000000000000E+00	  +1.0000000000000000E+00	  +3.7876988479654372E+00	  +7.8567174566350207E+02	  +3.0349063340418337E+02	  +1.8938494239827186E+00	  +6.6439808971598771E+00	  +1.8348889564944579E-01	  +1.8629343404571844E-01	
  +2.0000000000000000E+00	  +2.0000000000000000E+00	  +1.3086958916553574E+01	  +6.4031922761307408E+02	  +2.9204119233933648E+02	  +1.1543479458276787E+01	  +1.5414816989190172E+01	  +1.7656662172874030E-01	  +1.7926535653983453E-01	
  +3.0000000000000000E+00	  +3.0000000000000000E+00	  +2.2386217465919543E+01	  +4.9496639443465415E+02	  +2.8059175475319381E+02	  +2.1193108732959772E+01	  +2.4185650416361550E+01	  +1.6964434991124172E-01	  +1.7223728116930406E-01	
  +4.0000000000000000E+00	  +4.0000000000000000E+00	  +3.1685476854206421E+01	  +3.4961373527124459E+02	  +2.6914231524609602E+02	  +3.0842738427103210E+01	  +3.2956485315079298E+01	  +1.6272207693234339E-01	  +1.6520920461962241E-01	
  +5.0000000000000000E+00	  +5.0000000000000000E+00	  +4.0984735489588850E+01	  +2.0426091993497761E+02	  +2.5769287746299352E+02	  +4.0492367744794421E+01	  +4.1727318893131653E+01	  +1.5579980499576387E-01	  +1.5818112912819093E-01	
  +6.0000000000000000E+00	  +6.0000000000000000E+00	  +3.0616549897306067E+00	  +6.3507050506222470E+02	  +2.4443253032176818E+02	  +1.5308274948653033E+00	  +5.3704315157977378E+00	  +1.8472833307267847E-01	  +1.8755181566621343E-01	
  +7.0000000000000000E+00	  +7.0000000000000000E+00	  +1.2360913540231705E+01	  +4.8971767211926141E+02	  +2.3526134777574796E+02	  +1.1180456770115853E+01	  +1.4141264944960239E+01	  +1.7779727008445281E-01	  +1.8051481475619507E-01	
  +8.0000000000000000E+00	  +8.0000000000000000E+00	  +2.1660173193980857E+01	  +3.4436506801994670E+02	  +2.2609016320619344E+02	  +2.0830086596990427E+01	  +2.2912100309323840E+01	  +1.7086620556695392E-01	  +1.7347781229352927E-01	
  +9.0000000000000000E+00	  +9.0000000000000000E+00	  +3.0959431547248720E+01	  +1.9901219416544666E+02	  +2.1691898102193073E+02	  +3.0479715773624360E+01	  +3.1682933392520653E+01	  +1.6393514285212418E-01	  +1.6644081166108557E-01	
  +1.0000000000000000E+01	  +1.0000000000000000E+01	  +4.0258690800803791E+01	  +5.3659507054996560E+01	  +2.0774779718639650E+02	  +4.0129345400401895E+01	  +4.0453768054906106E+01	  +1.5700407888935647E-01	  +1.5940380976162974E-01	
  +1.1000000000000000E+01	  +1.1000000000000000E+01	  +2.3356096145435630E+00	  +4.8446894980380580E+02	  +1.8402840237966345E+02	  +1.1678048072717815E+00	  +4.0968794735583938E+00	  +1.8543772912098291E-01	  +1.8827205448750511E-01	
  +1.2000000000000000E+01	  +1.2000000000000000E+01	  +1.1634869525342690E+01	  +3.3911639902364630E+02	  +1.7716101309799976E+02	  +1.0817434762671345E+01	  +1.2867715288811890E+01	  +1.7851774798266803E-01	  +1.8124630480807860E-01	
  +1.3000000000000000E+01	  +1.3000000000000000E+01	  +2.0934127604909737E+01	  +1.9376346839615374E+02	  +1.7029362633138828E+02	  +2.0467063802454867E+01	  +2.1638547891911660E+01	  +1.7159776937866614E-01	  +1.7422055770170078E-01	
  +1.4000000000000000E+01	  +1.4000000000000000E+01	  +3.0233386758019268E+01	  +4.8410760450567096E+01	  +1.6342623809035118E+02	  +3.0116693379009632E+01	  +3.0409382378106169E+01	  +1.6467778928894719E-01	  +1.6719480908689746E-01	
  +1.5000000000000000E+01	  +1.5000000000000000E+01	  +3.9532643441225417E+01	  -9.6942459820148841E+01	  +1.5655885324153081E+02	  +3.9766321720612709E+01	  +3.9180212531857272E+01	  +1.5775781261742322E-01	  +1.6016906394253461E-01	
  +1.6000000000000000E+01	  +1.6000000000000000E+01	  +1.6095655807261682E+00	  +3.3386767278192980E+02	  +1.2224254838821231E+02	  +8.0478279036308409E-01	  +2.8233297842078833E+00	  +1.8476805983708028E-01	  +1.8759214963462451E-01	
  +1.7000000000000000E+01	  +1.7000000000000000E+01	  +1.0908823662569079E+01	  +1.8851474262651334E+02	  +1.1770540859694155E+02	  +1.0454411831284538E+01	  +1.1594162391299733E+01	  +1.7791023064833972E-01	  +1.8062950186705434E-01	
  +1.8000000000000000E+01	  +1.8000000000000000E+01	  +2.0208083413708280E+01	  +4.3162158728543439E+01	  +1.1316826729096705E+02	  +2.0104041706854140E+01	  +2.0364997926494670E+01	  +1.7105239917014364E-01	  +1.7366685177503549E-01	
  +1.9000000000000000E+01	  +1.9000000000000000E+01	  +2.9507339465475045E+01	  -1.0219119251987252E+02	  +1.0863112934176827E+02	  +2.9753669732737521E+01	  +2.9135826972641556E+01	  +1.6419457276567148E-01	  +1.6670420683428994E-01	
  +2.0000000000000000E+01	  +2.0000000000000000E+01	  +3.8806598342641919E+01	  -2.4754395770347040E+02	  +1.0409398882882802E+02	  +3.9403299171320960E+01	  +3.7906660974806627E+01	  +1.5733674248613666E-01	  +1.5974155795925324E-01	
  +2.1000000000000000E+01	  +2.1000000000000000E+01	  +8.8351972023044845E-01	  +1.8326601685729364E+02	  +5.9195354418291778E+01	  +4.4175986011522422E-01	  +1.5497768906913645E+00	  +1.7894605325964866E-01	  +1.8168115652199315E-01	
  +2.2000000000000000E+01	  +2.2000000000000000E+01	  +1.0182779643966045E+01	  +3.7913468760509637E+01	  +5.7010043315100837E+01	  +1.0091389821983022E+01	  +1.0320612728636647E+01	  +1.7233991328627821E-01	  +1.7497404491687368E-01	
  +2.3000000000000000E+01	  +2.3000000000000000E+01	  +1.9482035489726531E+01	  -1.0743992521921075E+02	  +5.4824733994164674E+01	  +1.9741017744863264E+01	  +1.9091441413429099E+01	  +1.6573377870061873E-01	  +1.6826693878181373E-01	
  +2.4000000000000000E+01	  +2.4000000000000000E+01	  +2.8781294400301764E+01	  -2.5279268347300652E+02	  +5.2639423333769429E+01	  +2.9390647200150880E+01	  +2.7862275474195581E+01	  +1.5912764006580843E-01	  +1.6155982853571368E-01	
  +2.5000000000000000E+01	  +2.5000000000000000E+01	  +3.8080553890112519E+01	  -3.9814532157760306E+02	  +5.0454112420222756E+01	  +3.9040276945056263E+01	  +3.6633110550995788E+01	  +1.5252150066572778E-01	  +1.5485271751264651E-01	
  +2.6000000000000000E+01	  +2.6000000000000000E+01	  +1.5747546668438428E-01	  +3.2664694257716199E+01	  +0.0000000000000000E+00	  +7.8737733342192140E-02	  +2.7622681591605064E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.7000000000000000E+01	  +2.7000000000000000E+01	  +9.4567315139768517E+00	  -1.1268865791879070E+02	  +0.0000000000000000E+00	  +9.7283657569884259E+00	  +9.0470558542146016E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.8000000000000000E+01	  +2.8000000000000000E+01	  +1.8755990457962454E+01	  -2.5804140924236725E+02	  +0.0000000000000000E+00	  +1.9377995228981227E+01	  +1.7817889973586020E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.9000000000000000E+01	  +2.9000000000000000E+01	  +2.8055249964424245E+01	  -4.0339404389308601E+02	  +0.0000000000000000E+00	  +2.9027624982212124E+01	  +2.6588725079593708E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +3.0000000000000000E+01	  +3.0000000000000000E+01	  +3.7354508652248590E+01	  -5.4874684835147355E+02	  +0.0000000000000000E+00	  +3.8677254326124299E+01	  +3.5359558749634132E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +3.1000000000000000E+01	  +3.1000000000000000E+01	  +3.7395377852838423E+00	  +7.7568183154707674E+02	  +3.0360091226857327E+02	  +1.8697688926419211E+00	  +6.5595018524186841E+00	  +1.8355556969079398E-01	  +1.8636112716731304E-01	
  +3.2000000000000000E+01	  +3.2000000000000000E+01	  +1.2913589281773243E+01	  +6.0435765065822386E+02	  +2.9243817291614943E+02	  +1.1456794640886621E+01	  +1.5110710303874672E+01	  +1.7680663416937689E-01	  +1.7950903745372107E-01	
  +3.3000000000000000E+01	  +3.3000000000000000E+01	  +2.2087639339954254E+01	  +4.3303317142509712E+02	  +2.8127543685715403E+02	  +2.1043819669977125E+01	  +2.3661916232402138E+01	  +1.7005770063914996E-01	  +1.7265694976175358E-01	
  +3.4000000000000000E+01	  +3.4000000000000000E+01	  +3.1261690372366477E+01	  +2.6170889427401733E+02	  +2.7011269856737078E+02	  +3.0630845186183237E+01	  +3.2213123869823001E+01	  +1.6330876576019998E-01	  +1.6580486070044850E-01	
  +3.5000000000000000E+01	  +3.5000000000000000E+01	  +4.0435740639377322E+01	  +9.0384458357877051E+01	  +2.5894996203019826E+02	  +4.0217870319688657E+01	  +4.0764330164657686E+01	  +1.5655983194086959E-01	  +1.5895277271495875E-01	
  +3.6000000000000000E+01	  +3.6000000000000000E+01	  +3.0229162784905039E+00	  +6.2703504287094881E+02	  +2.4450358334744936E+02	  +1.5114581392452520E+00	  +5.3024801638580019E+00	  +1.8478203094577492E-01	  +1.8760633428514495E-01	
  +3.7000000000000000E+01	  +3.7000000000000000E+01	  +1.2196966336671290E+01	  +4.5571056363777529E+02	  +2.3556205331013567E+02	  +1.1098483168335644E+01	  +1.3853686092385072E+01	  +1.7802452638311339E-01	  +1.8074554455668870E-01	
